Date,UserID,RecipeID,Event
2022-01-10 11:23:59,1031,68,view_recipe
2022-01-10 11:25:09,1031,68,short_description
2022-01-10 11:27:29,1031,68,steps
2022-01-10 11:43:48,433,194,view_recipe
2022-01-10 11:45:44,433,194,long_description
2022-01-10 11:46:36,433,194,steps
2022-01-10 11:48:03,1428,470,view_recipe
2022-01-10 11:49:47,1428,470,short_description
2022-01-10 11:50:06,1428,470,steps
2022-01-10 12:13:20,1740,349,view_recipe
2022-01-10 12:15:44,1740,349,steps
2022-01-10 12:24:36,67,353,view_recipe
2022-01-10 12:24:41,67,353,short_description
2022-01-10 12:25:07,67,353,long_description
2022-01-10 12:25:42,67,353,steps
2022-01-10 12:55:25,1766,427,view_recipe
2022-01-10 12:58:09,1766,427,short_description
2022-01-10 12:58:46,1766,427,steps
2022-01-10 13:00:15,456,284,view_recipe
2022-01-10 13:00:34,456,284,short_description
2022-01-10 13:00:53,456,284,steps
2022-01-10 13:30:09,921,293,view_recipe
2022-01-10 13:30:54,921,293,short_description
2022-01-10 13:33:17,921,293,steps
2022-01-10 13:39:32,282,456,view_recipe
2022-01-10 13:41:20,282,456,short_description
2022-01-10 13:43:10,282,456,long_description
2022-01-10 13:44:18,282,456,steps
2022-01-10 14:04:41,1691,233,view_recipe
2022-01-10 14:05:00,1691,233,short_description
2022-01-10 14:07:45,1691,233,steps
2022-01-10 14:11:23,245,344,view_recipe
2022-01-10 14:13:54,245,344,short_description
2022-01-10 14:15:49,245,344,long_description
2022-01-10 14:18:40,245,344,steps
2022-01-10 14:19:23,1327,43,view_recipe
2022-01-10 14:20:41,1327,43,short_description
2022-01-10 14:20:48,245,344,view_comments
2022-01-10 14:21:15,1327,43,steps
2022-01-10 14:33:46,652,250,view_recipe
2022-01-10 14:34:20,652,250,short_description
2022-01-10 14:34:30,1822,54,view_recipe
2022-01-10 14:34:52,652,250,long_description
2022-01-10 14:35:21,1822,54,short_description
2022-01-10 14:37:21,1822,54,steps
2022-01-10 14:37:27,652,250,steps
2022-01-10 14:37:40,652,250,view_comments
2022-01-10 15:08:41,1392,360,view_recipe
2022-01-10 15:08:47,1392,360,short_description
2022-01-10 15:11:42,1392,360,steps
2022-01-10 15:18:37,1161,496,view_recipe
2022-01-10 15:19:26,1161,496,short_description
2022-01-10 15:20:41,1161,496,long_description
2022-01-10 15:23:22,1161,496,steps
2022-01-10 15:26:00,921,46,view_recipe
2022-01-10 15:26:09,921,46,short_description
2022-01-10 15:28:06,921,46,steps
2022-01-10 15:34:51,999,421,view_recipe
2022-01-10 15:35:09,999,421,steps
2022-01-10 15:36:39,999,421,view_comments
2022-01-10 16:08:30,1349,298,view_recipe
2022-01-10 16:10:26,1349,298,short_description
2022-01-10 16:11:24,1349,298,long_description
2022-01-10 16:13:18,1349,298,steps
2022-01-10 16:40:51,1017,398,view_recipe
2022-01-10 16:41:36,1017,398,short_description
2022-01-10 16:42:51,739,467,view_recipe
2022-01-10 16:43:33,1017,398,steps
2022-01-10 16:45:14,739,467,short_description
2022-01-10 16:46:35,739,467,steps
2022-01-10 16:59:16,1446,284,view_recipe
2022-01-10 16:59:40,1446,284,short_description
2022-01-10 17:02:12,1446,284,long_description
2022-01-10 17:02:32,1472,354,view_recipe
2022-01-10 17:02:47,1472,354,short_description
2022-01-10 17:03:54,1446,284,steps
2022-01-10 17:05:32,1472,354,long_description
2022-01-10 17:06:06,1472,354,steps
2022-01-10 17:09:02,1342,438,view_recipe
2022-01-10 17:10:24,1342,438,short_description
2022-01-10 17:11:31,1342,438,steps
2022-01-10 17:28:43,1829,94,view_recipe
2022-01-10 17:30:20,1829,94,short_description
2022-01-10 17:32:08,1829,94,long_description
2022-01-10 17:32:47,1829,94,steps
2022-01-10 17:52:48,590,240,view_recipe
2022-01-10 17:55:10,590,240,short_description
2022-01-10 17:55:26,590,240,steps
